Date,Category,Title,Text
03 фев 2015 21:33,Финансы,«Роснефть» назвала заявление главы ЦБ о непрозрачности сделки странным,"Вице-президент «Роснефти» Михаил Леонтьев отверг утверждения о том, что размещение облигаций в декабре оказало влияние на девальвацию рубля. Эльвира Набиуллина ранее назвала эту сделку непрозрачной"
12 дек 2014 19:14,Политика,Евросоюз отказал «Роснефти» в доступе к секретным документам по санкциям,"РБК нашел подтверждение того, что «Роснефть», обжалуя санкции в Европейском суде, добивается от Евросоюза раскрытия большого числа документов по санкциям против России. Впрочем, ЕС по-прежнему отказывает «Роснефти» в доступе к наиболее чувствительным с политической точки зрения файлам"
09 дек 2014 21:48,Экономика,«Роснефть» предупреждает о дефиците нефтепродуктов из-за низких цен,NO TEXT
30 ноя 2014 21:28,Экономика,Придавило баррелем: что будет с рублем и бюджетом после решения ОПЕК,"Баррель нефти марки Brent в пятницу подешевел до $70. Цены останутся низкими как минимум в первой половине следующего года, считают эксперты. Это уже вызвало резкое падение курса рубля и капитализации нефтяных компаний. Проблемы..."
16 ноя 2014 07:20,Экономика,Путин заявил о возможности государственной поддержки «Роснефти»,NO TEXT
29 окт 2014 17:52,Экономика,Сечин заявил о намерении подать в суд на газету «Коммерсантъ»,"Глава «Роснефти» Игорь Сечин заявил, что компания подаст в суд на газету «Коммерсантъ». Издание 29 октября опубликовало материал, в котором говорилось, что «Роснефть» направила Владимиру Путину письмо с предложением ужесточить..."
29 окт 2014 15:30,Экономика,Улюкаев объяснил несоответствие заявки «Роснефти» требованиям ФНБ,"Заявка «Роснефти» на выделение средств из ФНБ не соответствует требованиям, которые предъявляются к проектам для финансирования из средств ФНБ, заявил глава Минэкономразвития РФ Алексей Улюкаев. Он также отказался говорить, какой объем средств может быть выделен «Роснефти» из фонда"
23 окт 2014 13:00,Экономика,Сечин объяснил необходимость выделения 2 трлн руб. заботой о России,"Глава «Роснефти» Игорь Сечин считает, что выделение нефтяной компании 2 трлн руб. из Фонда национального благосостояния может положительно сказаться на суверенном рейтинге России"
22 окт 2014 17:11,Экономика,«Роснефть» попросила 2 трлн рублей из ФНБ,"Сумма заявки «Роснефти» на получение помощи из Фонда национального благосостояния (ФНБ) превышает 2 трлн руб., сообщил министр финансов России Антон Силуанов"
14 окт 2014 00:56,Экономика,«Роснефть» нанимает лондонских адвокатов для оспаривания санкций,"По данным WSJ, российская компания нанимает лондонскую фирму Zaiwalla, в свое время успешно защищавшую интересы попавшего под санкции Запада одного из крупнейших иранских банков"
11 окт 2014 03:18,Бизнес,Morgan Stanley заявил о возможном срыве сделки с «Роснефтью»,"У банка осталось менее трех месяцев на то, чтобы продать свой нефтетрейдинговый бизнес российской компании. Сделка может не осуществиться из-за охлаждения отношений между Россией и США"
06 окт 2014 20:49,Финансы,ФАС одобрила ходатайство «Роснефти» о покупке 51% акций «Таймыргаза»,NO TEXT
06 окт 2014 12:40,Экономика,«Роснефть» предложила индийской ONGC участвовать в освоении Ванкора,"По данным СМИ, госкомпания готова продать индийской ONGC долю в 10% проекта"
29 сен 2014 13:59,Политика,Минэнерго уверено в способности России бурить в Карском море без Exxon,NO TEXT
27 сен 2014 16:22,Экономика,Сечин объяснил суть просьбы о финансировании «Роснефти» из ФНБ,"По его словам, обращение за поддержкой не связано с долгами компании."
27 сен 2014 12:10,Экономика,«Роснефть» и ExxonMobil открыли новое месторождение в Арктике,"Игорь Сечин назвал успех мероприятия общей победой всех участников проекта. «И мы хотим назвать это месторождение «Победа», — заявил глава «Роснефти»."
25 сен 2014 11:38,Экономика,Бывший миноритарий ТНК-ВР Холдинг подал иск к «Роснефти»,"Бывший миноритарий ТНК-ВР Холдинга, УК «Арсагера» оспаривает в суде цену акций, по которой «Роснефть» принудительно выкупила акции нефтяной компании. Истец уверяет, что бумаги были приобретены по цене, вдвое ниже рыночной, и требует компенсации от «Роснефти»."
25 сен 2014 05:18,Экономика,Решение по «Дальневосточному СПГ» и «Сахалину-1» отложили на 2015 год,"Решение о внесении проекта «Дальневосточный СПГ» в соглашение о разделе продукции «Сахалин-1» могут принять в середине следующего года, передает РИА Новости. «Уполномоченный госорган рассмотрел предложение о внесении в СРП..."
23 сен 2014 01:56,Экономика,«Роснефть» нашла способ компенсировать затраты на «Дальневосточный СПГ»,Это является одним из рабочих вариантов государственной поддержки «Роснефти»
22 сен 2014 15:24,Экономика,«Роснефть» нашла способ сэкономить на «Дальневосточном СПГ»,"«Роснефть» предлагает правительству включить проект строительства завода Дальневосточный СПГ в состав «Сахалин-1», чтобы государство компенсировало экономически обоснованные затраты на строительство завода и сопутствующей инфраструктуры."
21 сен 2014 22:13,Экономика,Exxon уходит из арктического проекта «Роснефти» из-за санкций США,Совместная работа компаний должна быть завершена до 10 октября
