Date,Category,Title,Text
24 сен 2022 08:07,Политика,Венгрия пообещала не поддержать санкции против «Газпрома» и «Росатома»,"Венгрия не будет поддерживать санкции против любых компаний, обеспечивающих поставки энергии, подчеркнул Сийярто. Для принятия новых санкций, введение которых анонсировал ЕС, нужно согласие всех членов союза, в том числе Будапешта"
23 сен 2022 19:00,Экономика,В Молдавии повысят тарифы на газ на 27%,NO TEXT
20 сен 2022 11:00,Экономика,«Коммерсантъ» узнал о планах повысить пошлины на экспорт нефти и газа,"В результате власти рассчитывают получить в бюджет 1,4 трлн руб. в следующем году и 3,15 трлн  руб. — с 2023 по 2025 год. Главным донором станет «Газпром»"
20 сен 2022 08:47,Экономика,Fars узнало о планах Ирана закупать у России 9 млн кубометров газа в день,"Решение принято в рамках меморандума об энергетическом сотрудничестве на $40 млрд, которое в июле заключили иранская NIOC и «Газпром». Тегеран и Москва также договорились о своповых поставках газа"
15 сен 2022 15:09,Экономика,"«Газпром» предупредил Европу, что одних запасов в хранилищах ей не хватит","В компании привели в пример Германию, где, несмотря на высокий уровень заполненности ПХГ, находящегося в них запаса активного газа хватит только на два месяца потребления"
09 сен 2022 19:26,Политика,«Нафтогаз» заявил о запуске нового арбитража против «Газпрома»,"«Нафтогаз» требует от «Газпрома» средства за услуги по транзиту природного газа, которые, по данным компании, «не были им оплачены вовремя и в полном объеме»"
09 сен 2022 01:06,Политика,В Латвию снова начал поступать российский газ,"«Газпром» объявил о прекращении поставок в Латвию 30 июля. С тех пор поставки газа в страну уже возобновлялись на неделю в августе, в сентябре поступление газа началось шесть дней назад"
06 сен 2022 15:24,Экономика,Россия и Китай зафиксировали расчеты за российский газ в нацвалютах,За поставляемый из России газ КНР будет рассчитываться в рублях и юанях. После выхода на полную мощность газопровода «Сила Сибири» объем российских поставок в Китай достигнет 48 млрд куб. м в год
05 сен 2022 20:15,Экономика,«Газпром» объяснил остановку «Северного потока» угрозой взрыва,"В компании пояснили, что ко взрыву или пожару может привести выявленная на одном из газоперекачивающих агрегатов утечка масла, поэтому Ростехнадзор 2 сентября потребовал приостановить работу газопровода до устранения дефекта"
04 сен 2022 17:39,Политика,Песков исключил вину «Газпрома» в нарушении поставок газа в Европу,NO TEXT
03 сен 2022 14:45,Политика,"Алиев заявил, что у Азербайджана нет цели конкурировать с «Газпромом»","По словам главы Азербайджана, у страны нет цели конкурировать с Россией на газовом рынке Европы. Накануне он сообщил о планах вдвое увеличить объем поставок газа в Евросоюз"
03 сен 2022 12:30,Политика,«Газпром» фразой «ремонтировать негде» описал ситуацию с турбинами,"Накануне «Газпром» сообщил об остановке «Северного потока» из-за утечки масла в газотурбинном двигателе. В Siemens Energy заявили, что подобные инциденты устраняются на месте и раньше не приводили к приостановке работы агрегата"
03 сен 2022 04:30,Политика,ЕС заявил об ускорении «шага к независимости» из-за остановки Nord Stream,"В Минэкономики ФРГ, в свою очередь, заявили, что Берлин «неуклонно и последовательно» прилагает усилия по укреплению независимости от энергоносителей из России, надежность поставок гарантирована"
