<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRNFP,D,26/11/13,000000,82903.0000000,83901.0000000,82700.0000000,83900.0000000,3599
TRNFP,D,27/11/13,000000,83157.0000000,84500.0000000,83157.0000000,84300.0000000,4859
TRNFP,D,28/11/13,000000,84499.0000000,84875.0000000,84001.0000000,84456.0000000,2518
TRNFP,D,29/11/13,000000,84356.0000000,85477.0000000,83745.0000000,84602.0000000,6813
TRNFP,D,02/12/13,000000,84378.0000000,84996.0000000,84378.0000000,84650.0000000,2619
TRNFP,D,03/12/13,000000,84650.0000000,84760.0000000,83770.0000000,84350.0000000,7707
TRNFP,D,04/12/13,000000,84200.0000000,84888.0000000,83807.0000000,84886.0000000,4079
TRNFP,D,05/12/13,000000,84511.0000000,84795.0000000,84012.0000000,84499.0000000,3939
TRNFP,D,06/12/13,000000,84300.0000000,84625.0000000,83770.0000000,83851.0000000,2957
TRNFP,D,09/12/13,000000,84296.0000000,85000.0000000,83800.0000000,84997.0000000,3271
TRNFP,D,10/12/13,000000,84750.0000000,85689.0000000,84615.0000000,85681.0000000,3930
TRNFP,D,11/12/13,000000,85255.0000000,85468.0000000,84157.0000000,84500.0000000,3968
TRNFP,D,12/12/13,000000,84151.0000000,84471.0000000,83350.0000000,84470.0000000,4600
TRNFP,D,13/12/13,000000,84255.0000000,85589.0000000,84078.0000000,85589.0000000,9196
TRNFP,D,16/12/13,000000,85340.0000000,86334.0000000,85340.0000000,85985.0000000,2840
TRNFP,D,17/12/13,000000,85970.0000000,86900.0000000,85055.0000000,85800.0000000,2792
TRNFP,D,18/12/13,000000,85602.0000000,85751.0000000,85252.0000000,85500.0000000,1477
TRNFP,D,19/12/13,000000,85697.0000000,86555.0000000,85449.0000000,85875.0000000,2773
TRNFP,D,20/12/13,000000,85820.0000000,86065.0000000,84502.0000000,85300.0000000,5746
TRNFP,D,23/12/13,000000,85011.0000000,85799.0000000,84374.0000000,85725.0000000,2563
TRNFP,D,24/12/13,000000,85558.0000000,86380.0000000,85229.0000000,86151.0000000,1768
TRNFP,D,25/12/13,000000,86251.0000000,86980.0000000,86201.0000000,86721.0000000,2134
TRNFP,D,26/12/13,000000,86802.0000000,87789.0000000,86608.0000000,87386.0000000,2669
TRNFP,D,27/12/13,000000,87389.0000000,87432.0000000,85500.0000000,85888.0000000,3612
TRNFP,D,30/12/13,000000,85351.0000000,85900.0000000,84990.0000000,85900.0000000,2418
TRNFP,D,06/01/14,000000,85102.0000000,86758.0000000,83214.0000000,83817.0000000,3051
TRNFP,D,08/01/14,000000,84000.0000000,84101.0000000,82251.0000000,82800.0000000,4571
TRNFP,D,09/01/14,000000,83000.0000000,83610.0000000,83000.0000000,83251.0000000,2689
TRNFP,D,10/01/14,000000,83101.0000000,83850.0000000,82766.0000000,83635.0000000,5898
TRNFP,D,13/01/14,000000,83430.0000000,84024.0000000,83011.0000000,83620.0000000,3362
TRNFP,D,14/01/14,000000,83189.0000000,84456.0000000,82366.0000000,83920.0000000,5748
TRNFP,D,15/01/14,000000,84293.0000000,84379.0000000,83420.0000000,83902.0000000,2214
TRNFP,D,16/01/14,000000,84186.0000000,84329.0000000,83217.0000000,83557.0000000,3756
TRNFP,D,17/01/14,000000,83499.0000000,84134.0000000,83418.0000000,83731.0000000,2473
TRNFP,D,20/01/14,000000,83505.0000000,83999.0000000,83403.0000000,83645.0000000,980
TRNFP,D,21/01/14,000000,83711.0000000,84352.0000000,83665.0000000,84172.0000000,3954
TRNFP,D,22/01/14,000000,84397.0000000,85688.0000000,83806.0000000,84400.0000000,3817
TRNFP,D,23/01/14,000000,84003.0000000,85350.0000000,84003.0000000,85000.0000000,6180
TRNFP,D,24/01/14,000000,84198.0000000,85920.0000000,84197.0000000,85446.0000000,5216
TRNFP,D,27/01/14,000000,85397.0000000,86056.0000000,83662.0000000,84850.0000000,7330
TRNFP,D,28/01/14,000000,84828.0000000,84828.0000000,81321.0000000,83765.0000000,10609
TRNFP,D,29/01/14,000000,83430.0000000,83775.0000000,80858.0000000,81480.0000000,12469
TRNFP,D,30/01/14,000000,81342.0000000,82379.0000000,79908.0000000,80450.0000000,8563
TRNFP,D,31/01/14,000000,80273.0000000,81159.0000000,79450.0000000,80182.0000000,12665
TRNFP,D,03/02/14,000000,79896.0000000,81098.0000000,79053.0000000,79447.0000000,4623
TRNFP,D,04/02/14,000000,79101.0000000,80599.0000000,78200.0000000,79986.0000000,9976
TRNFP,D,05/02/14,000000,80000.0000000,80406.0000000,79642.0000000,79642.0000000,3132
TRNFP,D,06/02/14,000000,79836.0000000,79996.0000000,78525.0000000,79246.0000000,4865
TRNFP,D,07/02/14,000000,79720.0000000,79798.0000000,78660.0000000,78680.0000000,4116
TRNFP,D,10/02/14,000000,78953.0000000,79980.0000000,78807.0000000,79570.0000000,3467
TRNFP,D,11/02/14,000000,79750.0000000,79856.0000000,78125.0000000,78395.0000000,7725
TRNFP,D,12/02/14,000000,78600.0000000,80430.0000000,78123.0000000,80290.0000000,6628
TRNFP,D,13/02/14,000000,80185.0000000,82216.0000000,80000.0000000,81499.0000000,8313
TRNFP,D,14/02/14,000000,81643.0000000,82284.0000000,80861.0000000,81703.0000000,2326
TRNFP,D,17/02/14,000000,82099.0000000,82293.0000000,80504.0000000,81300.0000000,2963
TRNFP,D,18/02/14,000000,80801.0000000,82144.0000000,80102.0000000,80262.0000000,3944
TRNFP,D,19/02/14,000000,80249.0000000,80907.0000000,79670.0000000,80350.0000000,5857
TRNFP,D,20/02/14,000000,80199.0000000,81614.0000000,79702.0000000,81200.0000000,6198
TRNFP,D,21/02/14,000000,81406.0000000,81445.0000000,79960.0000000,80229.0000000,2612
TRNFP,D,24/02/14,000000,80131.0000000,80279.0000000,79702.0000000,79859.0000000,1218
TRNFP,D,25/02/14,000000,79983.0000000,80145.0000000,79525.0000000,79901.0000000,1600
TRNFP,D,26/02/14,000000,79949.0000000,81184.0000000,79817.0000000,80492.0000000,14018
TRNFP,D,27/02/14,000000,80619.0000000,81086.0000000,79901.0000000,80951.0000000,4860
TRNFP,D,28/02/14,000000,80674.0000000,81190.0000000,79651.0000000,81190.0000000,3708
TRNFP,D,03/03/14,000000,79999.0000000,80000.0000000,75100.0000000,78350.0000000,20390
TRNFP,D,04/03/14,000000,78999.0000000,80595.0000000,76392.0000000,77250.0000000,13875
TRNFP,D,05/03/14,000000,77003.0000000,77910.0000000,75288.0000000,77900.0000000,5055
TRNFP,D,06/03/14,000000,77875.0000000,78198.0000000,76202.0000000,77901.0000000,7359
TRNFP,D,07/03/14,000000,77360.0000000,78698.0000000,76258.0000000,77895.0000000,13807
TRNFP,D,11/03/14,000000,77503.0000000,78594.0000000,75919.0000000,77000.0000000,8298
TRNFP,D,12/03/14,000000,76793.0000000,76900.0000000,75602.0000000,76060.0000000,10183
TRNFP,D,13/03/14,000000,76254.0000000,78500.0000000,75701.0000000,75710.0000000,13166
TRNFP,D,14/03/14,000000,75571.0000000,75571.0000000,72602.0000000,74100.0000000,8776
TRNFP,D,17/03/14,000000,74226.0000000,75422.0000000,72625.0000000,73951.0000000,12043
TRNFP,D,18/03/14,000000,73867.0000000,74270.0000000,71700.0000000,73500.0000000,8295
TRNFP,D,19/03/14,000000,73543.0000000,73790.0000000,70879.0000000,72600.0000000,16214
TRNFP,D,20/03/14,000000,72297.0000000,73500.0000000,72000.0000000,73000.0000000,6337
TRNFP,D,21/03/14,000000,72162.0000000,73071.0000000,70555.0000000,72299.0000000,8807
TRNFP,D,24/03/14,000000,72539.0000000,75000.0000000,72539.0000000,74000.0000000,6373
TRNFP,D,25/03/14,000000,73885.0000000,75447.0000000,73331.0000000,74803.0000000,5639
TRNFP,D,26/03/14,000000,74720.0000000,76476.0000000,74720.0000000,75300.0000000,5033
TRNFP,D,27/03/14,000000,75249.0000000,75410.0000000,73500.0000000,74199.0000000,6213
TRNFP,D,28/03/14,000000,74649.0000000,76285.0000000,74347.0000000,75650.0000000,9665
TRNFP,D,31/03/14,000000,75950.0000000,76683.0000000,75462.0000000,76299.0000000,13614
TRNFP,D,01/04/14,000000,76454.0000000,77345.0000000,75762.0000000,77034.0000000,7666
TRNFP,D,02/04/14,000000,77101.0000000,77586.0000000,76400.0000000,77189.0000000,9134
TRNFP,D,03/04/14,000000,77299.0000000,77777.0000000,76990.0000000,77200.0000000,8313
TRNFP,D,04/04/14,000000,77315.0000000,77876.0000000,76950.0000000,77000.0000000,8240
TRNFP,D,07/04/14,000000,76925.0000000,77750.0000000,76105.0000000,77500.0000000,7698
TRNFP,D,08/04/14,000000,77777.0000000,79999.0000000,77749.0000000,79999.0000000,10807
TRNFP,D,09/04/14,000000,80000.0000000,80803.0000000,79200.0000000,79200.0000000,4534
TRNFP,D,10/04/14,000000,79430.0000000,81245.0000000,78848.0000000,81245.0000000,5562
TRNFP,D,11/04/14,000000,80634.0000000,81150.0000000,78857.0000000,79540.0000000,4838
TRNFP,D,14/04/14,000000,79451.0000000,80872.0000000,79217.0000000,80600.0000000,3854
TRNFP,D,15/04/14,000000,79812.0000000,80591.0000000,79812.0000000,80551.0000000,8507
TRNFP,D,16/04/14,000000,80473.0000000,81489.0000000,79751.0000000,80900.0000000,6194
TRNFP,D,17/04/14,000000,80953.0000000,81315.0000000,80380.0000000,80400.0000000,3021
TRNFP,D,18/04/14,000000,81300.0000000,82050.0000000,81010.0000000,81075.0000000,1615
TRNFP,D,21/04/14,000000,81162.0000000,81396.0000000,79800.0000000,79805.0000000,1453
TRNFP,D,22/04/14,000000,79825.0000000,80500.0000000,79301.0000000,80325.0000000,4099
