<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,D,20/04/10,000000,194.3000000,197.7900000,194.0000000,195.1000000,190427
NVTK,D,21/04/10,000000,196.0300000,203.0000000,195.0000000,196.9400000,425075
NVTK,D,22/04/10,000000,196.0000000,202.5000000,195.5000000,197.4000000,544892
NVTK,D,23/04/10,000000,198.1000000,200.9900000,196.2000000,198.9800000,150842
NVTK,D,26/04/10,000000,200.1500000,204.0000000,199.0500000,203.8000000,484591
NVTK,D,27/04/10,000000,202.0000000,204.2000000,198.5400000,199.9600000,944394
NVTK,D,28/04/10,000000,198.0000000,198.5000000,194.6000000,195.7400000,633090
NVTK,D,29/04/10,000000,195.9100000,199.0000000,195.0000000,198.1300000,227012
NVTK,D,30/04/10,000000,198.9900000,199.7600000,195.2000000,198.0000000,330057
NVTK,D,04/05/10,000000,198.0700000,199.5000000,190.0000000,190.0100000,315958
NVTK,D,05/05/10,000000,187.9200000,190.9900000,180.0000000,182.9700000,668950
NVTK,D,06/05/10,000000,182.9700000,183.9900000,178.5300000,179.6100000,873543
NVTK,D,07/05/10,000000,176.4100000,177.0000000,168.0000000,168.6700000,611376
NVTK,D,11/05/10,000000,176.6000000,180.0000000,174.2900000,177.5400000,297762
NVTK,D,12/05/10,000000,175.8900000,191.0000000,175.8900000,190.0000000,790687
NVTK,D,13/05/10,000000,191.0000000,196.0000000,183.3000000,188.3500000,364383
NVTK,D,14/05/10,000000,186.4600000,189.6000000,185.0000000,187.0000000,200995
NVTK,D,17/05/10,000000,182.7000000,191.4600000,179.0400000,191.1000000,497969
NVTK,D,18/05/10,000000,192.5400000,195.0000000,192.5000000,193.5500000,536079
NVTK,D,19/05/10,000000,190.5700000,194.8000000,185.2200000,193.9700000,533012
NVTK,D,20/05/10,000000,193.9700000,195.9100000,183.0000000,183.7000000,1301921
NVTK,D,21/05/10,000000,184.5000000,190.6900000,177.0100000,183.8800000,544337
NVTK,D,24/05/10,000000,186.0000000,188.8000000,184.1100000,187.0300000,255465
NVTK,D,25/05/10,000000,180.0000000,186.0000000,174.6900000,174.7600000,446731
NVTK,D,26/05/10,000000,178.9000000,188.0400000,178.9000000,186.4000000,342900
NVTK,D,27/05/10,000000,188.3000000,197.4400000,185.3700000,196.0100000,369488
NVTK,D,28/05/10,000000,197.3400000,199.8400000,192.0100000,199.0000000,225279
NVTK,D,31/05/10,000000,199.0000000,200.0000000,196.3100000,199.9900000,155561
NVTK,D,01/06/10,000000,198.0000000,199.9900000,196.8000000,198.0000000,247144
NVTK,D,02/06/10,000000,196.4100000,199.0000000,194.0700000,199.0000000,184131
NVTK,D,03/06/10,000000,203.3300000,203.4800000,199.1000000,199.1000000,195831
NVTK,D,04/06/10,000000,200.2200000,215.0500000,198.3300000,204.6500000,1499469
NVTK,D,07/06/10,000000,196.3000000,204.0000000,194.1900000,200.4300000,390114
NVTK,D,08/06/10,000000,199.8000000,202.0000000,194.5000000,198.5000000,226321
NVTK,D,09/06/10,000000,198.7300000,200.5000000,196.1000000,197.0600000,269243
NVTK,D,10/06/10,000000,197.3400000,202.8000000,194.8000000,201.0100000,389796
NVTK,D,11/06/10,000000,202.0000000,204.6400000,199.0100000,203.9800000,363309
NVTK,D,15/06/10,000000,204.0700000,214.9000000,202.4600000,214.5000000,1163448
NVTK,D,16/06/10,000000,216.0000000,228.2100000,214.6700000,221.3400000,1806559
NVTK,D,17/06/10,000000,219.1100000,223.0000000,217.7300000,218.4800000,421512
NVTK,D,18/06/10,000000,218.0400000,222.8800000,215.0000000,221.5000000,1564015
NVTK,D,21/06/10,000000,222.6700000,225.9700000,218.3000000,221.8500000,996988
NVTK,D,22/06/10,000000,219.9900000,223.4400000,219.4400000,221.5400000,382301
NVTK,D,23/06/10,000000,219.5300000,219.5300000,215.8000000,215.8000000,553997
NVTK,D,24/06/10,000000,216.0000000,218.0100000,211.0000000,214.0000000,368124
NVTK,D,25/06/10,000000,213.0000000,213.0000000,206.8500000,210.0000000,300697
NVTK,D,28/06/10,000000,209.2500000,220.0000000,207.1200000,211.1600000,135917
NVTK,D,29/06/10,000000,210.0000000,210.0000000,205.6300000,209.0400000,453705
NVTK,D,30/06/10,000000,207.0000000,213.7400000,205.6200000,209.4000000,596532
NVTK,D,01/07/10,000000,209.0000000,212.3000000,201.8900000,205.4300000,1108312
NVTK,D,02/07/10,000000,208.0000000,214.0900000,206.6100000,214.0500000,457843
NVTK,D,05/07/10,000000,212.0000000,217.7200000,212.0000000,215.5000000,293638
NVTK,D,06/07/10,000000,214.1300000,222.0000000,214.0300000,220.8000000,295490
NVTK,D,07/07/10,000000,219.0000000,221.4200000,216.0800000,221.3500000,181924
NVTK,D,08/07/10,000000,222.0000000,224.9900000,213.5000000,216.5000000,222446
NVTK,D,09/07/10,000000,217.9900000,218.0200000,209.1000000,216.9000000,160233
NVTK,D,12/07/10,000000,216.0000000,218.4300000,213.9800000,218.0000000,102984
NVTK,D,13/07/10,000000,216.5300000,225.0000000,215.6800000,224.4000000,979889
NVTK,D,14/07/10,000000,224.5000000,225.9900000,217.7000000,221.0000000,230946
NVTK,D,15/07/10,000000,220.9900000,225.0000000,219.0000000,219.0000000,392291
NVTK,D,16/07/10,000000,220.9400000,224.0000000,219.0100000,220.0400000,332104
NVTK,D,19/07/10,000000,220.7200000,223.0000000,219.0000000,221.9500000,190641
NVTK,D,20/07/10,000000,221.0000000,224.3900000,220.9400000,222.8700000,122537
NVTK,D,21/07/10,000000,223.0000000,224.7500000,221.5000000,223.2200000,457511
NVTK,D,22/07/10,000000,221.2200000,224.5000000,220.0000000,223.2500000,645548
NVTK,D,23/07/10,000000,223.9700000,224.0000000,217.7700000,218.0000000,491007
NVTK,D,26/07/10,000000,219.5000000,221.5000000,208.0000000,221.0000000,443467
NVTK,D,27/07/10,000000,221.5000000,223.0000000,219.0000000,220.0000000,383472
NVTK,D,28/07/10,000000,221.0000000,221.9900000,217.6000000,217.9900000,297930
NVTK,D,29/07/10,000000,219.4900000,220.6900000,217.3100000,220.5200000,245179
NVTK,D,30/07/10,000000,219.7100000,220.1200000,217.5000000,218.5000000,237368
