iter	Passed	Remaining
781	745	684
782	746	683
783	747	682
784	747	681
785	748	680
786	749	679
787	750	678
788	751	677
789	752	676
790	753	675
791	754	674
792	755	673
793	756	672
794	756	671
795	757	670
796	758	668
797	759	668
798	760	667
799	761	666
800	762	665
801	763	664
802	764	663
803	764	662
804	765	661
805	766	660
806	767	659
807	768	658
808	769	657
809	770	656
810	771	655
811	772	654
812	773	653
813	774	652
814	774	651
815	775	650
816	776	649
817	777	648
818	778	647
819	779	646
820	780	645
821	781	644
822	782	643
823	783	642
824	783	641
825	785	640
826	785	639
827	786	638
828	787	637
829	788	636
830	789	635
831	790	634
832	791	633
833	792	632
834	793	631
835	794	630
836	795	629
837	796	628
838	797	628
839	798	627
840	798	625
841	799	624
842	800	623
843	801	622
844	803	622
845	804	621
846	804	620
847	805	619
848	806	618
849	807	617
850	808	616
851	809	615
852	810	614
853	810	613
854	811	612
855	812	611
856	814	610
857	815	609
858	815	608
859	817	608
860	817	606
861	818	605
862	819	604
863	820	603
864	821	602
865	822	601
866	823	600
867	823	599
868	824	598
869	825	597
870	826	596
871	827	595
872	828	594
873	829	593
874	829	592
875	830	591
876	831	590
877	832	589
878	833	588
879	834	587
880	835	587
881	836	585
882	837	584
883	838	584
884	839	583
885	840	582
886	840	581
887	841	580
888	842	579
889	843	578
890	844	577
891	845	576
892	846	575
893	847	574
894	848	573
895	849	572
896	850	571
897	851	571
898	852	570
899	853	569
900	854	568
901	855	567
902	856	566
903	857	565
904	858	564
905	859	563
906	860	562
907	860	561
908	861	560
909	862	559
910	863	558
911	864	557
912	865	556
913	866	555
914	867	554
915	867	553
916	868	552
917	869	551
918	870	550
919	871	549
920	872	548
921	872	547
922	874	546
923	875	545
924	876	544
925	877	543
926	877	542
927	878	541
928	879	540
929	880	539
930	881	538
931	882	537
932	883	536
933	884	535
934	886	535
935	887	534
936	887	533
937	888	532
938	889	531
939	890	530
940	891	529
941	892	528
942	893	527
943	894	526
944	895	525
945	896	524
946	897	524
947	898	523
948	899	522
949	900	521
950	901	520
951	901	519
952	902	518
953	903	517
954	904	516
955	905	515
956	906	514
957	907	513
958	908	512
959	909	511
960	910	510
961	911	509
962	912	508
963	913	507
964	914	506
965	915	505
966	916	504
967	916	503
968	917	502
969	918	501
970	919	501
971	920	500
972	921	498
973	922	498
974	923	497
975	924	496
976	924	495
977	926	494
978	927	493
979	928	492
980	929	491
981	930	490
982	930	489
983	931	488
984	932	487
985	933	486
986	935	486
987	935	484
988	936	483
989	937	482
990	938	482
991	939	480
992	940	480
993	941	479
994	941	478
995	942	477
996	943	476
997	944	475
998	945	474
999	946	473
1000	947	472
1001	947	471
1002	948	470
1003	949	469
1004	950	468
1005	951	467
1006	952	466
1007	953	465
1008	954	464
1009	955	463
1010	956	462
1011	957	461
1012	958	460
1013	958	459
1014	959	458
1015	960	457
1016	961	456
1017	962	455
1018	963	454
1019	963	453
1020	964	452
1021	965	451
1022	966	450
1023	967	449
1024	968	448
1025	969	447
1026	970	447
1027	971	446
1028	972	445
1029	973	444
1030	974	443
1031	975	442
1032	976	441
1033	977	440
1034	978	439
1035	979	438
1036	979	437
1037	980	436
1038	981	435
1039	982	434
1040	983	433
1041	984	432
1042	984	431
1043	986	430
1044	987	429
1045	987	428
1046	988	427
1047	989	426
1048	991	426
1049	992	425
1050	993	424
1051	994	423
1052	995	422
1053	995	421
1054	996	420
1055	997	419
1056	998	418
1057	999	417
1058	1000	416
1059	1001	415
1060	1002	414
1061	1003	413
1062	1004	412
1063	1005	411
1064	1006	410
1065	1007	410
1066	1008	409
1067	1009	408
1068	1010	407
1069	1010	406
1070	1011	405
1071	1012	404
1072	1013	403
1073	1015	402
1074	1016	401
1075	1017	400
1076	1018	399
1077	1019	398
1078	1020	398
1079	1021	397
1080	1021	396
1081	1022	395
1082	1023	394
1083	1024	393
1084	1025	392
1085	1026	391
1086	1027	390
1087	1028	389
1088	1029	388
1089	1030	387
1090	1030	386
1091	1031	385
1092	1032	384
1093	1033	383
1094	1034	382
1095	1035	381
1096	1036	380
1097	1037	379
1098	1038	378
1099	1039	377
1100	1040	376
1101	1041	376
1102	1042	375
1103	1042	374
1104	1043	373
1105	1044	372
1106	1045	371
1107	1046	370
1108	1047	369
1109	1048	368
1110	1049	367
1111	1050	366
1112	1051	365
1113	1052	364
1114	1052	363
1115	1053	362
1116	1054	361
1117	1055	360
1118	1056	359
1119	1057	358
1120	1058	357
1121	1059	356
1122	1060	355
1123	1061	355
1124	1062	354
1125	1063	353
1126	1064	352
1127	1065	351
1128	1066	350
1129	1067	349
1130	1067	348
1131	1068	347
1132	1069	346
1133	1070	345
1134	1071	344
1135	1073	343
1136	1077	343
1137	1079	343
1138	1080	342
1139	1082	341
1140	1083	340
1141	1085	340
1142	1086	339
1143	1088	338
1144	1089	337
1145	1091	337
1146	1093	336
1147	1095	335
1148	1099	335
1149	1101	335
1150	1103	334
1151	1104	333
1152	1106	332
1153	1107	332
1154	1109	331
1155	1110	330
1156	1112	329
1157	1114	329
1158	1116	328
1159	1117	327
1160	1119	326
1161	1122	326
1162	1124	325
1163	1125	324
1164	1125	323
1165	1126	322
1166	1127	321
1167	1128	320
1168	1130	320
1169	1131	319
1170	1132	318
1171	1134	317
1172	1135	316
1173	1136	315
1174	1137	314
1175	1139	313
1176	1140	312
1177	1141	312
1178	1142	311
1179	1144	310
1180	1145	309
1181	1146	308
1182	1147	307
1183	1148	306
1184	1149	305
1185	1150	304
1186	1151	303
1187	1153	302
1188	1154	301
1189	1155	300
1190	1156	299
1191	1157	299
1192	1158	298
1193	1159	297
1194	1161	296
1195	1162	295
1196	1163	294
1197	1164	293
1198	1165	292
1199	1166	291
1200	1167	290
1201	1168	289
1202	1169	288
1203	1170	287
1204	1171	286
1205	1172	285
1206	1174	284
1207	1175	284
1208	1176	283
1209	1177	282
1210	1178	281
1211	1179	280
1212	1180	279
1213	1181	278
1214	1182	277
1215	1183	276
1216	1184	275
1217	1186	274
1218	1187	273
1219	1188	272
1220	1189	271
1221	1190	270
1222	1191	269
1223	1191	268
1224	1192	267
1225	1194	266
1226	1194	265
1227	1195	264
1228	1196	263
1229	1197	262
1230	1198	261
1231	1199	261
1232	1200	260
1233	1201	259
1234	1202	258
1235	1203	257
1236	1205	256
1237	1207	255
1238	1208	254
1239	1210	253
1240	1211	252
1241	1213	252
1242	1214	251
1243	1216	250
1244	1218	249
1245	1219	248
1246	1220	247
1247	1222	246
1248	1223	245
1249	1224	244
1250	1225	243
1251	1226	243
1252	1227	242
1253	1228	241
1254	1230	240
1255	1231	239
1256	1232	238
1257	1233	237
1258	1234	236
1259	1235	235
1260	1237	234
1261	1238	233
1262	1239	232
1263	1240	231
1264	1242	230
1265	1243	229
1266	1244	228
1267	1245	227
1268	1246	226
1269	1247	225
1270	1248	224
1271	1249	224
1272	1250	223
1273	1252	222
1274	1253	221
1275	1254	220
1276	1256	219
1277	1257	218
1278	1259	217
1279	1260	216
1280	1261	215
1281	1262	214
1282	1264	213
1283	1265	212
1284	1266	211
1285	1269	211
1286	1270	210
1287	1271	209
1288	1272	208
1289	1273	207
1290	1274	206
1291	1275	205
1292	1277	204
1293	1278	203
1294	1279	202
1295	1280	201
1296	1281	200
1297	1283	199
1298	1284	198
1299	1285	197
1300	1286	196
1301	1287	195
1302	1288	194
1303	1290	193
1304	1291	192
1305	1292	192
1306	1293	191
1307	1294	190
1308	1295	189
1309	1296	188
1310	1297	187
1311	1299	186
1312	1300	185
1313	1301	184
1314	1302	183
1315	1303	182
1316	1304	181
1317	1306	180
1318	1306	179
1319	1307	178
1320	1309	177
1321	1310	176
1322	1311	175
1323	1312	174
1324	1312	173
1325	1313	172
1326	1314	171
1327	1315	170
1328	1316	169
1329	1317	168
1330	1318	167
1331	1319	166
1332	1320	165
1333	1321	164
1334	1322	163
1335	1323	162
1336	1324	161
1337	1325	160
1338	1326	159
1339	1327	158
1340	1328	157
1341	1329	156
1342	1330	155
1343	1332	154
1344	1333	153
1345	1334	152
1346	1335	151
1347	1336	150
1348	1337	149
1349	1338	148
1350	1339	147
1351	1340	146
1352	1341	145
1353	1342	144
1354	1344	143
1355	1345	142
1356	1347	141
1357	1348	141
1358	1349	140
1359	1351	139
1360	1352	138
1361	1354	137
1362	1355	136
1363	1357	135
1364	1358	134
1365	1359	133
1366	1361	132
1367	1364	131
1368	1365	130
1369	1366	129
1370	1368	128
1371	1369	127
1372	1371	126
1373	1372	125
1374	1373	124
1375	1374	123
1376	1375	122
1377	1376	121
1378	1378	120
1379	1379	119
1380	1380	118
1381	1381	117
1382	1383	117
1383	1385	116
1384	1386	115
1385	1387	114
1386	1388	113
1387	1390	112
1388	1391	111
1389	1393	110
1390	1394	109
1391	1395	108
1392	1397	107
1393	1398	106
1394	1399	105
1395	1400	104
1396	1402	103
1397	1403	102
1398	1404	101
1399	1405	100
1400	1406	99
1401	1407	98
1402	1409	97
1403	1410	96
1404	1411	95
1405	1412	94
1406	1414	93
1407	1415	92
1408	1416	91
1409	1418	90
1410	1419	89
1411	1420	88
1412	1421	87
1413	1422	86
1414	1423	85
1415	1424	84
1416	1426	83
1417	1428	82
1418	1429	81
1419	1430	80
1420	1431	79
1421	1432	78
1422	1433	77
1423	1434	76
1424	1435	75
1425	1436	74
1426	1437	73
1427	1438	72
1428	1439	71
1429	1440	70
1430	1442	69
1431	1443	68
1432	1444	67
1433	1445	66
1434	1446	65
1435	1447	64
1436	1448	63
1437	1449	62
1438	1450	61
1439	1451	60
1440	1452	59
1441	1453	58
1442	1455	57
1443	1456	56
1444	1457	55
1445	1458	54
1446	1459	53
1447	1461	52
1448	1462	51
1449	1463	50
1450	1464	49
1451	1465	48
1452	1466	47
1453	1468	46
1454	1468	45
1455	1470	44
1456	1472	43
1457	1473	42
1458	1474	41
1459	1475	40
1460	1476	39
1461	1477	38
1462	1478	37
1463	1479	36
1464	1480	35
1465	1481	34
1466	1482	33
1467	1483	32
1468	1484	31
1469	1485	30
1470	1486	29
1471	1487	28
1472	1488	27
1473	1488	26
1474	1491	25
1475	1492	24
1476	1494	23
1477	1498	22
1478	1499	21
1479	1501	20
1480	1502	19
